Incident Date,State,City Or County,# Killed,# Injured,Code
2019-08-30,Maryland,Baltimore,1,3,MD
2019-08-30,Alabama,Mobile,0,6,AL
2019-08-31,Texas,Odessa,8,23,TX
2019-08-31,North Carolina,Charlotte,1,3,NC
2019-08-31,South Carolina,Moncks Corner,0,4,SC
2019-08-31,Pennsylvania,Philadelphia,2,2,PA
2019-08-31,Maryland,Frederick,0,4,MD
2019-08-31,Maryland,Baltimore,0,4,MD
2019-08-31,Illinois,Chicago,2,3,IL
2019-09-01,Ohio,Toledo,0,4,OH
2019-09-01,Alabama,Valley,0,7,AL
2019-09-01,North Carolina,Rocky Mount,0,4,NC
2019-09-01,Connecticut,Hartford,1,3,CT
2019-09-02,Alabama,Elkmont,5,0,AL
2019-09-02,Illinois,Chicago,0,4,IL
2019-09-02,North Carolina,Greensboro,2,2,NC
2019-09-04,Louisiana,Marrero,2,2,LA
2019-09-04,Florida,Jacksonville,0,4,FL
2019-09-07,North Carolina,Whiteville,3,1,NC
2019-09-08,Louisiana,Alexandria,1,3,LA
2019-09-08,South Carolina,Sumter,2,2,SC
2019-09-10,Illinois,Chicago,0,4,IL
2019-09-12,New Mexico,Albuquerque,4,2,NM
2019-09-12,New Mexico,Albuquerque,1,4,NM
2019-09-14,Georgia,Lagrange,0,4,GA
2019-09-14,California,Oakland,1,4,CA
2019-09-14,Missouri,Saint Louis,1,3,MO
2019-09-16,Wyoming,Cheyenne,2,2,WY
2019-09-18,Illinois,Chicago,3,1,IL
2019-09-18,California,Wilmington,2,2,CA
2019-09-19,District of Columbia,Washington,1,5,DC
2019-09-20,Louisiana,New Orleans,1,5,LA
2019-09-21,Indiana,Indianapolis,0,6,IN
2019-09-21,South Carolina,Lancaster,2,8,SC
2019-09-21,Louisiana,New Orleans,0,4,LA
2019-09-21,Ohio,Cleveland,4,0,OH
2019-09-22,Missouri,Kansas City,0,5,MO
2019-09-23,Indiana,Gary,2,2,IN
2019-09-24,Illinois,Chicago,1,3,IL
2019-09-29,Illinois,Round Lake (Round Lake Park),1,3,IL
2019-09-29,Wisconsin,Milwaukee,0,4,WI
2019-09-29,Kansas,Claflin,0,4,KS
2019-09-29,Texas,Beaumont,4,0,TX
2019-09-29,Florida,Jacksonville,0,4,FL
2019-10-01,Missouri,Saint Louis,0,4,MO
2019-10-03,Missouri,Marshall,1,3,MO
2019-10-03,North Carolina,Roxboro,1,3,NC
2019-10-05,Missouri,Saint Louis,0,5,MO
2019-10-06,Kansas,Kansas City,4,5,KS
2019-10-06,Colorado,Denver,0,4,CO
2019-10-06,Indiana,Evansville,0,5,IN
2019-10-07,Massachusetts,Abington,5,0,MA
2019-10-09,Massachusetts,Lowell,0,5,MA
2019-10-09,Maryland,Baltimore,1,3,MD
2019-10-10,Pennsylvania,Philadelphia,0,5,PA
2019-10-10,Florida,Tampa,2,2,FL
2019-10-12,Michigan,Eastpointe,1,5,MI
2019-10-12,Maryland,Baltimore,1,3,MD
2019-10-12,Pennsylvania,Philadelphia,1,3,PA
2019-10-12,Illinois,Chicago,5,0,IL
2019-10-12,New York,Brooklyn,4,3,NY
2019-10-13,Ohio,Akron,0,4,OH
2019-10-13,Pennsylvania,Philadelphia,0,6,PA
2019-10-15,Ohio,Columbus,0,4,OH
2019-10-19,Texas,El Paso,1,4,TX
2019-10-19,Pennsylvania,Duquesne,0,4,PA
2019-10-20,Texas,Port Arthur,1,3,TX
2019-10-21,South Carolina,Sumter,0,4,SC
2019-10-22,Oklahoma,Oklahoma City (Midwest City),1,3,OK
2019-10-24,Oklahoma,Oklahoma City,2,2,OK
2019-10-26,Texas,Greenville,2,6,TX
2019-10-27,Michigan,Lansing,1,4,MI
2019-10-27,Michigan,Detroit,0,4,MI
2019-10-28,Maryland,Baltimore,1,3,MD
2019-10-29,California,Long Beach,3,9,CA
2019-10-29,Maryland,Baltimore,1,3,MD
2019-10-30,Pennsylvania,Philadelphia,4,0,PA
2019-10-31,California,Orinda,5,3,CA
2019-11-01,Texas,San Angelo,0,4,TX
2019-11-01,Arizona,Tolleson,0,5,AZ
2019-11-02,Michigan,Detroit,1,4,MI
2019-11-02,Louisiana,Baton Rouge,0,4,LA
2019-11-03,Texas,Nacogdoches,1,3,TX
2019-11-03,Ohio,Toledo,0,4,OH
2019-11-04,Texas,Houston,1,4,TX
2019-11-07,Georgia,Conyers,2,3,GA
2019-11-08,North Carolina,Raleigh,1,3,NC
2019-11-09,Georgia,Vidalia,0,4,GA
2019-11-09,Michigan,Detroit,0,4,MI
2019-11-10,Arkansas,Little Rock,0,4,AR
2019-11-10,Tennessee,Memphis,1,4,TN
2019-11-10,Missouri,Kansas City,0,4,MO
2019-11-11,Florida,Belle Glade,0,4,FL
2019-11-14,California,Santa Clarita,3,3,CA
2019-11-16,California,San Diego,6,0,CA
2019-11-17,Ohio,Cleveland,0,4,OH
2019-11-17,California,Fresno,4,6,CA
2019-11-18,New Jersey,Newark,1,4,NJ
2019-11-20,California,Richmond,0,4,CA
2019-11-21,Washington,Everett,0,4,WA
2019-11-21,California,Long Beach,0,5,CA
2019-11-23,Louisiana,Tallulah,1,6,LA
2019-11-23,California,Los Angeles,0,4,CA
2019-11-24,Alabama,Birmingham,1,4,AL
2019-11-24,Louisiana,Cottonport,2,2,LA
2019-11-24,California,Los Angeles,0,6,CA
2019-11-25,Florida,Brownsville,2,2,FL
2019-11-27,New York,Bronx,0,5,NY
2019-11-29,Texas,Amarillo,0,7,TX
2019-11-30,Arkansas,Hensley,0,5,AR
2019-12-01,Louisiana,New Orleans,0,12,LA
2019-12-01,Michigan,Kalamazoo,1,3,MI
2019-12-01,Illinois,Aurora,1,4,IL
2019-12-01,Louisiana,New Orleans,2,2,LA
2019-12-01,Louisiana,Cotton Valley,2,3,LA
2019-12-04,Alabama,Montgomery,2,2,AL
2019-12-06,Florida,Pensacola,4,8,FL
2019-12-08,Texas,Desoto,2,3,TX
2019-12-08,Louisiana,New Orleans,1,4,LA
